Sample,Sex,Diet,Coat.Color,BMC1,BMC2,BMD1,BMD2,BW.11,BW.12,BW.13,BW.14,BW.15,BW.16,BW.17,BW.18,BW.19,BW.20,BW.21,Calcium2,CHCM1,CHCM2,cHGB1,cHGB2,CHOL1,CHOL2,ct.EOS1,ct.EOS2,ct.LYM1,ct.LYM2,ct.MONO1,ct.MONO2,ct.NEUT1,ct.NEUT2,GLDH1,GLDH2,Glucose2,HCT1,HCT2,HDLD1,HDLD2,HDW1,HDW2,HR,HRV,INSULIN,Length1,Length2,LEPTIN,LTM1,LTM2,MCH1,MCH2,MCHC1,MCHC2,MCV1,MCV2,mHGB1,mHGB2,MPV1,MPV2,perc.EOS1,perc.EOS2,perc.Fat1,perc.Fat2,perc.LYM1,perc.LYM2,perc.MONO1,perc.MONO2,perc.NEUT1,perc.NEUT2,Phosphorus2,PLT1,PLT2,pNN50...6ms.,PQ,PR,QRS,QTC,QTc.dispersion,RBC1,RBC2,RDW1,RDW2,Retic1,Retic2,rMSSD,RR,ST,T.Area1,T.Area2,TG1,TG2,TTM1,TTM2,urine.creatinine2,urine.Glucose2,urine.microalbumin2,WBC1,WBC2
M63,M,chow,agouti,0.4929,0.5881,0.0518,0.0556,29.22,29.38,30.13,32.03,32.57,32.83,33.81,33.54,33.52,34.51,34.71,9.8,28.2,28.2,14.8,15,93,103,0.17296,0.60536,8.89663,8.70205,0.49726,0.35673,1.14586,1.07019,19.3,17.6,196,52.4,53.3,68.7,75,1.42,1.38,NA,NA,1.962126914,9,9.3,6.55641183,20.3,23.6,15,15,28.6,28.5,52.3,52.8,15,15.2,6.5,6.9,1.6,5.6,27.97,30.14,82.3,80.5,4.6,3.3,10.6,9.9,7,1626,1795,NA,NA,NA,NA,NA,NA,10.03,10.1,11.9,11.4,3.39,1.48,NA,NA,NA,23.29,26.54,167,193,28.24,33.77,104.07,92,0,10.81,10.88
M64,M,chow,agouti,0.7513,0.869,0.0574,0.061,32.18,31.71,32.69,33.5,32.69,33.12,34.34,34.86,34.52,35.6,36.9,8.9,29.2,30.1,15.7,18.1,116,93,0.1986,0.2317,4.8988,5.24304,0.07944,0.15226,1.3902,0.94004,7.1,8.8,134,53.9,60,82.5,71.4,1.57,1.72,NA,NA,1.858548112,9,9.6,1.446823054,25.3,29.2,15.2,15.6,29.9,30,51,51.8,16.1,18,5.9,6.6,3,3.5,18.13,15.21,74,79.2,1.2,2.3,21,14.2,6.2,1382,1608,NA,NA,NA,NA,NA,NA,10.55,11.57,12.3,12.3,4.22,2.64,NA,NA,NA,25.46,27.15,186,115,30.91,34.44,73.36,97,0,6.62,5.77
M65,M,chow,agouti,0.6149,0.7728,0.0573,0.0556,31.44,31.95,32.65,33.51,33.99,36.59,34.46,32.47,32.75,32.6,34.54,9.8,29.1,28.8,16.3,18,80,101,0.30132,0.51516,7.15392,7.1928,0.243,0.31104,1.90512,1.58436,18.3,7.9,204,56.1,62.3,NA,77.4,1.65,1.77,NA,NA,1.558620777,9.2,9.3,1.646659991,24.8,27.1,15.4,15.4,29.5,28.8,52.1,53.6,16.6,17.9,6.4,8,3.1,5.3,19.44,17.38,73.6,74,2.5,3.2,19.6,16.3,6.5,1530,1264,NA,NA,NA,NA,NA,NA,10.78,11.63,15.2,15.8,3.33,2.66,NA,NA,NA,22.71,26.13,115,187,30.78,32.76,51.67,75,1.34,9.72,9.88
M66,M,chow,white,0.7521,0.6853,0.0541,0.0521,30.92,31.77,30.8,31.95,31.15,30.59,33.35,31.26,31.7,34.4,36.68,9.5,27.9,28.5,15.2,16.2,96,98,0.18039,0.44668,6.72597,7.20701,0.19757,0.16321,1.38299,0.6872,18.1,7.2,188,54.3,56.6,68.1,73.9,1.55,1.49,NA,NA,2.034913237,9.4,9.5,0.848912005,26,28.5,15.1,13.4,28.8,28.5,52.5,46.8,15.6,16.2,7.4,7.8,2.1,5.2,11.65,17.82,78.3,83.9,2.3,1.9,16.1,8,8.3,1128,1364,NA,NA,NA,NA,NA,NA,10.34,12.11,14.3,12.6,2.62,2.15,NA,NA,NA,24.32,26.42,222,113,29.52,34.65,111.35,149,0,8.59,11.21
M67,M,chow,white,0.6728,NA,0.0553,NA,31.05,33,36.02,38.93,39.66,41.66,42.98,42.16,43.5,39.94,43.3,10.2,27.9,28,11.4,15.7,106,105,0.23355,0.37368,3.56553,3.71604,0.17646,0.24912,1.20408,0.82002,21.6,23.9,246,40.9,56,85.6,79.6,1.66,1.55,NA,NA,1.130713736,9.5,NA,1.050884437,25.4,NA,14.4,14.6,28.2,28,51,52,11.6,15.7,7.4,7.5,4.5,7.2,20.26,NA,68.7,71.6,3.4,4.8,23.2,15.8,4.8,1677,1767,NA,NA,NA,NA,NA,NA,8.03,10.76,14.3,11.9,3.05,1.73,NA,NA,NA,25.79,NA,190,112,31.86,NA,91.05,102,0,5.19,4.25
M68,M,chow,white,0.7047,0.8344,0.0568,0.0575,31.65,31.64,31.83,33.01,32.38,33.54,32.88,33.61,33.91,33.37,32.26,10.1,29.1,27.5,14.6,16.1,82,97,0.19747,0.68355,12.18238,12.77479,0.21266,0.27342,2.35445,1.35191,17.8,17.4,186,50.2,58.6,62.1,71.5,1.73,1.42,NA,NA,11.43714239,9.1,9.4,10.36777394,25.9,25.9,14.3,14.9,29.5,28.1,48.5,52.9,14.8,16.5,6.9,7.5,1.3,4.5,13.47,13.36,80.2,84.1,1.4,1.8,15.5,8.9,6.4,1370,1047,NA,NA,NA,NA,NA,NA,10.34,11.07,14.9,12.8,3.89,1.85,NA,NA,NA,23.8,25.52,66,39,29.92,29.9,101.43,138,0.78,15.19,5.68
M69,M,chow,agouti,0.7115,NA,0.0578,NA,38.54,37.5,39.21,42.39,42.39,43.47,46.13,45.19,45.3,40.7,43.36,NA,27.2,27.2,15.7,15.4,120,NA,0.13398,0.29667,7.40718,7.74213,0.24882,0.33495,1.70346,1.13883,12.2,NA,NA,57.7,56.7,90.7,NA,1.55,1.45,NA,NA,1.055164629,9.6,NA,2.729200598,30.9,NA,15.1,15.1,28.5,28,52.8,53.8,16.5,15.9,6.3,7.1,1.4,3.1,16.58,NA,77.4,80.9,2.6,3.5,17.8,11.9,NA,925,1480,NA,NA,NA,NA,NA,NA,10.93,10.53,15.2,13.6,4.07,2.08,NA,NA,NA,28.54,NA,228,NA,37.04,NA,55.5,87,0.11,9.57,5.63
M70,M,chow,agouti,0.5928,NA,0.0508,NA,25.34,23.66,24.15,25.8,25.49,25.52,25.7,26.01,26.21,26.85,27.33,NA,30,NA,15.7,NA,62,NA,0.2385,NA,6.731,NA,0.22525,NA,5.9625,NA,20,NA,NA,52.4,NA,51.4,NA,1.75,NA,NA,NA,0.321600701,8.2,NA,0.750358,18.5,NA,14.6,NA,30.4,NA,48.1,NA,15.9,NA,6.4,NA,1.8,NA,15.63,NA,50.8,NA,1.7,NA,45,NA,NA,1546,NA,NA,NA,NA,NA,NA,NA,10.88,NA,14.2,NA,3.48,NA,NA,NA,NA,19.19,NA,77,NA,21.91,NA,NA,NA,NA,13.25,NA
M71,M,chow,white,0.7867,NA,0.0574,NA,35.55,33.92,34.67,34.82,36.14,36.3,39.82,40.43,41.29,39.66,39.75,10.5,26.7,27.3,16.1,15.2,101,82,0.08877,0.27438,6.72231,6.06057,0.18561,0.10491,0.99261,1.60593,24.1,10.6,208,60.2,55.8,77.5,62.2,1.46,1.42,794,3,2.588454923,9.4,NA,4.00014043,27.6,NA,14.1,13.8,27.2,27.9,51.7,49.3,16.4,15.6,5.9,6,1.1,3.4,12.91,NA,83.3,75.1,2.3,1.3,12.3,19.9,7,1523,1492,0,23.1,29.5,9.5,44,27.1,11.64,11.32,14,11.4,1.99,1.87,0.43,75.6,29.2,24.53,NA,64,109,31.65,NA,111.51,170,0.28,8.07,4.43
M72,M,chow,agouti,0.7463,NA,0.0544,NA,30.64,31.63,32.75,34.77,35.31,36.62,37.17,36.35,38.11,39.13,40.49,11.5,28.4,28.9,15.7,15.9,99,139,0.1152,0.2368,5.5296,5.3056,0.1472,0.1664,0.5248,0.6464,9.4,11.1,200,55.3,55,82.6,104.6,1.56,1.45,783,49.8,3.841025542,9.4,NA,4.178705719,25.2,NA,14.1,14,28.8,29.4,48.8,47.8,15.9,16.2,6.2,7.3,1.8,3.7,15.92,NA,86.4,82.9,2.3,2.6,8.2,10.1,7.8,1618,1533,1.59,20.8,27,9.4,46.5,61.9,11.33,11.52,15.7,12.3,4.91,1.73,13.62,77.3,31.8,25.55,NA,116,168,29.96,NA,105.57,161,0,6.4,9.28
